Prioridad,Lakehouse,Esquema,source_table,target_table,Campo_001,Campo_002,Campo_003,Campo_004,Campo_005,Campo_006,Campo_007,Campo_008,Campo_009,Campo_010,Campo_011,Campo_012,Campo_013,Campo_014,Campo_015,Campo_016,Campo_017,Campo_018,Campo_019,Campo_020,Campo_021,Campo_022,Campo_023,Campo_024,Campo_025,Campo_026,Campo_027,Campo_028,Campo_029,Campo_030,Campo_031,Campo_032,Campo_033,Campo_034,Campo_035,Campo_036,Campo_037,Campo_038,Campo_039,Campo_040,Campo_041,Campo_042,Campo_043,Campo_044,Campo_045,Campo_046,Campo_047,Campo_048,Campo_049,Campo_050,Campo_051,Campo_052,Campo_053,Campo_054,Campo_055,Campo_056,Campo_057,Campo_058,Campo_059,Campo_060,Campo_061,Campo_062,Campo_063,Campo_064,Campo_065,Campo_066,Campo_067,Campo_068,Campo_069,Campo_070,Campo_071,Campo_072,Campo_073,Campo_074,Campo_075,Campo_076,Campo_077,Campo_078,Campo_079,Campo_080,Campo_081,Campo_082,Campo_083,Campo_084,Campo_085,Campo_086,Campo_087,Campo_088,Campo_089,Campo_090,Campo_091,Campo_092,Campo_093,Campo_094,Campo_095,Campo_096,Campo_097,Campo_098,Campo_099,Campo_100,Campo_101,Campo_102,Campo_103,Campo_104,Campo_105,Campo_106,Campo_107,Campo_108,Campo_109,Campo_110,Campo_111,Campo_112,Campo_113,Campo_114,Campo_115,Campo_116,Campo_117,Campo_118,Campo_119,Campo_120,Campo_121,Campo_122,Campo_123,Campo_124,Campo_125,Campo_126,Campo_127,Campo_128,Campo_129,Campo_130,Campo_131,Campo_132,Campo_133,Campo_134,Campo_135,Campo_136,Campo_137,Campo_138,Campo_139,Campo_140,Campo_141,Campo_142,Campo_143,Campo_144,Campo_145,Campo_146,Campo_147,Campo_148,Campo_149,Campo_150,Campo_151,Campo_152,Campo_153,Campo_154,Campo_155,Campo_156,Campo_157,Campo_158,Campo_159,Campo_160,Campo_161,Campo_162,Campo_163,Campo_164,Campo_165,Campo_166,Campo_167,Campo_168,Campo_169,Campo_170,Campo_171,Campo_172,Campo_173,Campo_174,Campo_175,Campo_176,Campo_177,Campo_178,Campo_179,Campo_180,Campo_181,Campo_182,Campo_183,Campo_184,Campo_185,Campo_186,Campo_187,Campo_188,Campo_189,Campo_190,Campo_191,Campo_192,Campo_193,Campo_194,Campo_195,Campo_196,Campo_197,Campo_198,Campo_199,Campo_200,Campo_201,Campo_202,Campo_203,Campo_204,Campo_205,Campo_206,Campo_207,Campo_208,Campo_209,sap_Client,sap_CreatedBy,sap_CreatedOn,sap_LastChangedBy,sap_LastChangedOn,sap_DataSource,sap_LogicalSystem,sap_DataPackage,Notas_SAP
1,lh_bronze_qad2,ecp,XXENTPR_MSTR,payroll_companies,XXENTPR_ADDR,XXENTPR_DESC,XXENTPR__CHR01,XXENTPR__CHR02,XXENTPR__CHR03,XXENTPR__DEC01,XXENTPR__DEC02,XXENTPR__DEC03,XXENTPR__LOG01,XXENTPR__DTE01,OID_XXEMTPR_MSTR,XXENTPR_DOMAIN,PROGRESS_RECID,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,ecp,ICOMPANYCODE,payroll_companies,,Description,,,,,,,,DocumentDate,,CompanyCode,,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
1,lh_silver_erp,ecp,payroll_periods,payroll_periods,payroll_date,npnsm,description,npnqm,tipo,bloq,month,year,type_pr,entpr_addr,chr01,chr02,dec01,company_code,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_qad2,ecp,XXPER_MSTR,payroll_periods,XXPER_FECHA,XXPER_NPNSM,XXPER_DESC,XXPER_NPNQM,XXPER_TIPO,XXPER_BLOQ,XXPER_MONTH,XXPER_YEAR,XXPER_TYPE_PR,XXPER_ENTPR_ADDR,XXPER__CHR01,XXPER__CHR02,XXPER__DEC01,XXPER_DOMAIN,PROGRESS_RECID,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,ecp,IFISCALYEAR,payroll_periods,DocumentDate,,Description,,,,,,,,,,,CompanyCode,,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
1,lh_silver_erp,ecp,work_companies,work_companies,work_address,description,group,chr01,chr02,chr03,dec01,dec02,dec03,log01,log02,log03,date01,date02,date03,oid_xxentwk_mstr,company_code,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_qad2,ecp,XXENTWK_MSTR,work_companies,XXENTWK_ADDR,XXENTWK_DESC,XXENTWK_GROUP,XXENTWK__CHR01,XXENTWK__CHR02,XXENTWK__CHR03,XXENTWK__DEC01,XXENTWK__DEC02,XXENTWK__DEC03,XXENTWK__LOG01,XXENTWK__LOG02,XXENTWK__LOG03,XXENTWK__DTE01,XXENTWK__DTE02,XXENTWK__DTE03,OID_XXENTWK_MSTR,XXENTWK_DOMAIN,PROGRESS_RECID,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,ecp,ICOMPANYCODE,work_companies,,Description,,,,,,,,,,,DocumentDate,DocumentDate,DocumentDate,,CompanyCode,,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
1,lh_silver_erp,fi,account_assignment_structure,account_assignment_structure,account_id,subaccount_id,cost_center_id,description,user1,user2,format_position_id,company_code,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_qad1,fi,ASC_MSTR,account_assignment_structure,ASC_ACC,ASC_SUB,ASC_CC,ASC_DESC,ASC_USER1,ASC_USER2,ASC_FPOS,ASC_DOMAIN,PROGRESS_RECID,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,fi,IGLACCOUNTINCHARTOFACCOUNTS,account_assignment_structure,GLAccount,GLAccount,CostCenter,Description,,,,CompanyCode,,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
1,lh_silver_erp,fi,bank_master,bank_master,bank_id,account_id,cost_center_id,check,desc,currency_code,user1,user2,segment_id,pip_account_id,pip_cost_center_id,bk_acct1,bk_acct2,user_id,mod_date,min_drft,max_drft,drft_chg,drft_chg_pct,ar_gl_account_id,ar_cost_center_id,bkchg_account_id,bkchg_cost_center_id,disc_account_id,disc_cost_center_id,ddft_account_id,ddft_cost_center_id,ap_gl_account_id,ap_cost_center_id,bktx_account_id,bktx_cost_center_id,cdft_account_id,cdft_cost_center_id,edft_account_id,edft_cost_center_id,sub,bkchg_sub,bktx_sub,cdft_sub,ddft_sub,dftap_sub,dftar_sub,disc_sub,edft_sub,pip_sub,validation,company_code,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_qad1,fi,BK_MSTR,bank_master,BK_CODE,BK_ACCT,BK_CC,BK_CHECK,BK_DESC,BK_CURR,BK_USER1,BK_USER2,BK_ENTITY,BK_PIP_ACCT,BK_PIP_CC,BK_BK_ACCT1,BK_BK_ACCT2,BK_USERID,BK_MOD_DATE,BK_MIN_DRFT,BK_MAX_DRFT,BK_DRFT_CHG,BK_DRFT_CHG_PCT,BK_DFTAR_ACCT,BK_DFTAR_CC,BK_BKCHG_ACCT,BK_BKCHG_CC,BK_DISC_ACCT,BK_DISC_CC,BK_DDFT_ACCT,BK_DDFT_CC,BK_DFTAP_ACCT,BK_DFTAP_CC,BK_BKTX_ACCT,BK_BKTX_CC,BK_CDFT_ACCT,BK_CDFT_CC,BK_EDFT_ACCT,BK_EDFT_CC,BK_SUB,BK_BKCHG_SUB,BK_BKTX_SUB,BK_CDFT_SUB,BK_DDFT_SUB,BK_DFTAP_SUB,BK_DFTAR_SUB,BK_DISC_SUB,BK_EDFT_SUB,BK_PIP_SUB,BK_VALIDATION,BK_DOMAIN,PROGRESS_RECID,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,fi,IHOUSEBANK,bank_master,HouseBank,GLAccount,CostCenter,,Description,TransactionCurrency,,,Segment,GLAccount,CostCenter,,,,DocumentDate,,,,,GLAccount,CostCenter,GLAccount,CostCenter,GLAccount,CostCenter,GLAccount,CostCenter,GLAccount,CostCenter,GLAccount,CostCenter,GLAccount,CostCenter,GLAccount,CostCenter,,,,,,,,,,,,CompanyCode,,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
0,lh_silver_erp,fi,chart_of_accounts,chart_of_accounts,account_id,format_position,account_type,account_description,currency_code,is_active,user_field_1,user_field_2,category_id,character_02,subcategory_id,character_04,company_code,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
